,,90%,90%,95%,95%,99%,99%,predict
28,628,-87.59139553,191.5667459,-114.3193027,218.294653,-166.5023595,270.4777099,51.98767517
29,629,-96.79937363,181.895204,-123.482897,208.5787274,-175.5792998,260.6751302,42.54791519
30,630,-65.32307333,212.8338826,-91.9551223,239.4659316,-143.9510274,291.4618367,73.75540463
31,631,48.86372156,324.7000006,22.45386505,351.1098571,-29.10823575,402.671958,186.7818611
32,632,207.5154473,453.1050871,184.0015456,476.6189888,138.0934518,522.5270825,330.3102672
33,633,202.3446851,447.7635081,178.8471382,471.261055,132.9709752,517.1372179,325.0540966
34,634,165.4684867,410.8620483,141.9733585,434.3571765,96.10191764,480.2286173,288.1652675
35,635,151.1606004,396.5024209,127.6704261,419.9925952,81.80865727,465.854364,273.8315107
36,636,114.0091661,359.291182,90.52471781,382.7756303,44.67412822,428.6262199,236.6501741
37,637,74.26660485,319.4830217,50.78843727,342.9611893,4.950110098,388.7995165,196.8748133
38,638,72.23076865,317.3755419,48.75946057,340.84685,2.934525748,386.6717848,194.8031553
39,639,132.5674299,377.6338896,109.1036199,401.0976996,63.29332423,446.9079953,255.1006598
40,640,80.9999119,325.9806432,57.54430997,349.4362452,11.75003953,395.2305156,203.4902776
41,641,63.58411463,308.4708564,40.1375117,331.9174593,-5.639189261,377.6941603,186.0274855
42,642,76.88947869,321.6730099,53.45275762,345.109731,7.695349804,390.8671388,199.2812443
43,643,-20.78950416,223.8805029,-44.21535591,247.3063547,-89.95154264,293.0425414,101.5454994
44,644,-46.77242997,197.7724895,-70.18630524,221.1863648,-115.8991093,266.8991689,75.50002977
45,645,-32.39534785,212.0115712,-55.79601031,235.4122336,-101.483018,281.0992413,89.80811165
46,646,100.8624072,344.5754312,77.52818155,367.9096569,31.97088376,413.4669547,222.7189192
47,647,243.181968,475.3555297,220.9525844,497.5849133,177.5523593,540.9851384,359.2687489
48,648,203.9174762,436.0257651,181.6943422,458.2488992,138.3063186,501.6369228,319.9716207
49,649,190.6368725,422.7306662,168.4151263,444.9524124,125.0298123,488.3377264,306.6837693
50,650,175.6878827,407.7544852,153.46874,429.973628,110.0885088,473.3538591,291.721184
51,651,191.3904422,423.4262315,169.1742496,445.6424241,125.7997783,489.0168953,307.4083368
52,652,120.5323379,352.5348263,98.31933372,374.7478305,54.95108741,418.1160768,236.5335821
53,653,89.54016249,321.5068096,67.33058989,343.7163822,23.96904339,387.0779287,205.523486
54,654,139.63694,371.5649897,117.4310629,393.7708668,74.0767314,437.1251983,255.6009649
55,655,139.5411938,371.4276341,117.3393005,393.6295273,73.99274711,436.9760807,255.4844139
56,656,139.1868053,371.0283404,116.9892115,393.2259342,73.65105217,436.5640936,255.1075729
57,657,148.4331038,380.2261252,126.2401549,402.4190741,82.91106427,445.7481647,264.3296145
58,658,14.94899085,246.6895445,-7.238934506,268.8774699,-50.55821733,312.1967527,130.8192677
59,659,14.87416731,246.5579166,-7.308319326,268.7404032,-50.6169837,312.0490676,130.7160419
60,660,56.12218869,287.7444147,33.94559258,309.9210108,-9.351571248,353.2181746,171.9333017
61,661,172.7786677,404.0671534,150.6340254,426.2117957,107.3992477,469.4465734,288.4229106
62,662,262.6996525,487.8795142,241.1398785,509.4392882,199.0469864,551.5321803,375.2895833
63,663,317.1985442,542.3447975,295.6419881,563.9013537,253.5553784,605.9879633,429.7716709
64,664,266.3729752,491.5099108,244.8173112,513.0655749,202.7324433,555.1504428,378.941443
65,665,287.4830025,512.6032077,265.9289403,534.1572699,223.8471998,576.2390104,400.0431051
66,666,249.191018,474.292469,227.6387514,495.8447356,185.5605166,537.9229704,361.7417435
67,667,217.9958004,443.0771523,196.4454582,464.6274945,154.3709806,506.7019721,330.5364764
68,668,298.7459593,523.8058563,277.1976713,545.3541444,235.1272043,587.4246114,411.2759078
69,669,326.2291693,551.2661538,304.6830751,572.812248,262.6168911,614.8784321,438.7476616
70,670,331.9548018,556.9672945,310.4110525,578.5110438,268.3494467,620.5726496,444.4610482
71,671,367.0825849,592.0688738,345.5413445,613.6101142,303.484637,655.6668217,479.5757293
72,672,367.5934165,592.5516448,346.0548627,614.0901986,304.0034006,656.1416608,480.0725307
73,673,197.7687475,422.6969013,176.2330732,444.2325756,134.1872329,486.2784159,310.2328244
74,674,173.3530926,398.2489866,151.820507,419.7815722,109.780697,461.8213821,285.8010396
75,675,267.3118376,492.1731247,245.7825655,513.7023968,203.7492246,555.7357377,379.7424811
76,676,304.1790341,528.843972,282.6685613,550.3544448,240.671924,592.3510821,416.511503
77,677,168.9255543,389.8054505,147.7774792,410.9535257,106.48838,452.2426249,279.3655024
78,678,403.8085904,624.6681926,382.6624583,645.8143247,341.3771527,687.0996303,514.2383915
79,679,557.1862208,778.0393485,536.0407085,799.1848608,494.7566132,840.4689561,667.6127846
80,680,559.4909313,780.3327354,538.3465033,801.4771635,497.0645247,842.7591421,669.9118334
81,681,567.0704576,787.8996554,545.9272366,809.0428765,504.6476145,850.3224986,677.4850565
82,682,591.2025403,812.0183003,570.0606058,833.1602348,528.7834956,874.437345,701.6104203
83,683,663.6517249,884.4532166,642.5111565,905.593785,601.2367135,946.868228,774.0524708
84,684,585.0538651,805.8402003,563.9147479,826.9793175,522.6431382,868.2509272,695.4470327
85,685,406.4675635,627.2377848,385.3299891,648.3753591,344.0613916,689.6439567,516.8526741
86,686,337.4538179,558.2068928,316.3178852,579.3428255,275.0524928,620.6082179,447.8303554
87,687,263.3462297,484.0810448,242.2120453,505.2152292,200.9500662,546.4772083,373.7136373
88,688,118.129938,338.8452925,96.99761682,359.9776137,55.73927548,401.235955,228.4876152
89,689,57.66667724,278.3612763,36.53634329,299.4916102,-4.718118226,340.7460717,168.0139767
90,690,50.97644686,271.6489102,29.84823229,292.7771248,-11.4020914,334.0274485,161.3126785
91,691,133.7119396,354.2550387,112.5961109,375.3708674,71.36996928,416.597009,243.9834891
