,,90%,90%,95%,95%,99%,99%
53,219.3191686,115.1459688,323.4923684,94.81949078,343.8188464,55.43693964,383.2013976
54,252.4179568,142.4818938,362.3540198,121.0309546,383.8049589,79.46976008,425.3661535
55,222.2774599,114.0569185,330.4980012,92.94071526,351.6142044,52.02807156,392.5268481
56,234.7259921,128.2433832,341.2086011,107.4662888,361.9856955,67.21066835,402.2413159
57,256.8992439,150.5834445,363.2150434,129.8388983,383.9595896,89.64633994,424.152148
58,173.9817346,63.57381331,284.389656,42.03080427,305.932665,0.291224256,347.672245
59,179.2719837,74.67709436,283.8668729,54.26833547,304.2756318,14.72636513,343.8176022
60,199.036002,96.04832374,302.0236802,75.95316701,322.1188369,37.01880086,361.053203
61,310.4736399,192.2082476,428.7390323,169.1320735,451.8152064,124.4219861,496.5252937
62,394.467568,261.5625713,527.3725647,235.629889,553.305247,185.3853171,603.5498189
63,276.6256782,155.2611498,397.9902067,131.5802661,421.6710903,85.69855415,467.5528023
64,312.7695908,186.2609958,439.2781858,161.5763919,463.9627897,113.7499718,511.7892098
65,320.8334893,199.4085692,442.2584094,175.7159019,465.9510768,129.8113589,511.8556197
66,298.1865138,183.1377633,413.2352643,160.6892266,435.683801,117.1951867,479.1778408
67,378.1464647,240.4586775,515.834252,213.5927678,542.7001617,161.5400677,594.7528617
68,327.2335206,200.2489044,454.2181369,175.4714182,478.995623,127.4650389,527.0020023
69,370.8094246,228.2337332,513.3851159,200.4140861,541.204763,146.5135199,595.1053293
70,361.4784074,220.7578465,502.1989684,193.300176,529.6566388,140.1009396,582.8558752
71,345.6701566,205.6179832,485.7223299,178.2907299,513.0495832,125.3441766,565.9961366
72,336.2225072,198.225948,474.2190664,171.2997901,501.1452243,119.1303592,553.3146552
73,267.6494726,146.8234713,388.4754739,123.2476662,412.0512791,77.56954371,457.7294015
74,348.4268385,221.1339238,475.7197531,196.296282,500.557395,148.1733508,548.6803261
75,302.7227721,185.4949929,419.9505513,162.6212799,442.8242643,118.3034609,487.1420832
76,243.3151241,125.9408256,360.6894226,103.0385235,383.5917248,58.66531307,427.9649352
77,523.462608,311.4676462,735.4575699,270.1027756,776.8224405,189.9583388,856.9668773
78,575.7165057,384.5604866,766.8725248,347.2617511,804.1712603,274.9954512,876.4375602
79,510.908742,351.1215721,670.6959119,319.9435878,701.8738962,259.5362431,762.2812409
80,571.8301381,399.8848319,743.7754443,366.3345283,777.325748,301.330815,842.3294613
81,610.6952279,436.4860403,784.9044155,402.4940037,818.8964521,336.6344327,884.7560231
82,668.6361407,480.514338,856.7579434,443.8076448,893.4646366,372.6884267,964.5838547
83,523.1475314,364.5514629,681.7435999,333.6058885,712.6891742,273.6488382,772.6462245
84,418.6152248,278.9647132,558.2657365,251.7158329,585.5146168,198.9211273,638.3093224
85,363.4865819,238.0580449,488.9151188,213.584184,513.3889797,166.1660786,560.8070851
86,312.7762068,196.0335247,429.5188889,173.2544648,452.2979488,129.1200362,496.4323774
87,337.5616821,221.7625566,453.3608076,199.1676053,475.9557589,155.3898871,519.7334771
