,,90%,90%,95%,95%,99%,99%
81,612.0189523,432.5227913,791.5151133,397.4991501,826.5387545,329.6408453,894.3970593
82,636.6654127,461.0387211,812.2921044,426.7700983,846.5607271,360.3746417,912.9561837
83,602.2779596,429.5412683,775.0146508,395.836548,808.7193711,330.5336525,874.0222666
84,488.287017,319.1135096,657.4605245,286.1040447,690.4699894,222.1482065,754.4258276
85,409.0757624,243.3192169,574.8323078,210.9764764,607.1750484,148.3124165,669.8391083
86,338.6254615,175.5895408,501.6613822,143.7776538,533.4732691,82.14212284,595.1088001
87,273.0696804,112.196467,433.9428938,80.80657167,465.3327891,19.98864952,526.1507113
88,239.9750875,81.48272684,398.4674481,50.55738818,429.3927867,-9.360455465,489.3106304
89,154.4022399,-0.581147348,309.3856272,-30.82180828,339.6262881,-89.41308883,398.2175687
90,116.4075291,-35.87498347,268.6900416,-65.58864446,298.4037026,-123.1588626,355.9739208
91,308.344624,159.494862,457.194386,130.451006,486.238242,74.17853499,542.510713
92,339.5534907,189.7040521,489.4029294,160.4651372,518.6418442,103.8147397,575.2922418
93,387.2976617,237.3680485,537.2272749,208.1134898,566.4818336,151.4327824,623.162541
94,453.6279153,305.2646134,601.9912173,276.3156764,630.9401543,220.2271111,687.0287196
95,496.0047069,349.4758761,642.5335378,320.8848847,671.1245291,265.4898389,726.5195749
96,483.6817818,339.1325661,628.2309975,310.9278411,656.4357225,256.2811864,711.0823773
97,425.2258099,279.1398287,571.311791,250.635247,599.8163727,195.40762,655.0439997
98,416.5701531,255.8132323,577.327074,224.4460282,608.6942781,163.6720703,669.468236
99,467.3817195,306.3675639,628.395875,274.9501677,659.8132712,214.0789626,720.6844764
100,365.0408399,207.8346623,522.2470175,177.1602862,552.9213936,117.7286824,612.3529973
101,314.8664399,161.3348618,468.3980179,131.3774808,498.355399,73.33505492,556.3978248
102,199.661208,49.67738089,349.645035,20.4122439,378.910172,-36.28895902,435.611375
103,170.9947897,24.4791457,317.5104338,-4.109272647,346.0988521,-59.4993332,401.4889127
104,135.4291167,-7.697459029,278.5556925,-35.62459576,306.4828292,-89.73342318,360.5916566
105,124.5854347,-19.86532503,269.0361944,-48.05083912,297.2217084,-102.6602727,351.831142
106,275.6427788,116.1667635,435.1187941,85.04949227,466.2360654,24.75977918,526.5257784
107,446.4270059,291.1247467,601.729265,260.8218669,632.0321448,202.1100372,690.7439745
108,474.4833647,311.441845,637.5248845,279.6288655,669.3378639,217.9912178,730.9755116
109,551.7231284,391.1801203,712.2661365,359.8546553,743.5916015,299.1615669,804.28469
110,454.1377932,297.1959637,611.0796227,266.5731677,641.7024187,207.2415005,701.034086
111,464.2804518,310.5333922,618.0275113,280.5339659,648.0269376,222.4100775,706.150826
112,440.0681498,290.0109404,590.1253593,260.7314849,619.4048148,204.0025398,676.1337599
113,449.1454606,301.8963433,596.3945779,273.1648082,625.126113,217.497459,680.7934622
114,331.9219224,187.7884578,476.055387,159.664855,504.1789898,105.1753745,558.6684703
115,250.0547727,108.9356507,391.1738946,81.40021231,418.7093331,28.05030035,472.059245
116,231.0096418,92.3942083,369.6250754,65.34729443,396.6719892,12.94389883,449.0753849
117,186.1065943,48.97129979,323.2418889,22.21319354,349.9999951,-29.63063733,401.843826
118,118.1327824,-15.73873836,252.0043031,-41.8600107,278.1255755,-92.46997586,328.7355406
119,89.25845129,-42.13889282,220.6557954,-67.77739899,246.2943016,-117.4520047,295.9689073
120,141.1359665,9.366540524,272.9053924,-16.34456698,298.6164999,-66.15983775,348.4317707
121,319.3588628,184.1494786,454.5682471,157.7671597,480.950566,106.6514169,532.0663088
122,275.61149,143.7434198,407.4795602,118.0130647,433.2099154,68.16050155,483.0624785
123,318.9941168,187.3833541,450.6048794,161.7032053,476.2850282,111.9479169,526.0403166
124,224.7582428,94.76388867,354.7525969,69.39913665,380.1173489,20.2549296,429.261556
125,214.4972907,87.61229175,341.3822897,62.85424317,366.1403383,14.88552403,414.1090574
126,253.0219753,128.7314597,377.3124909,104.4796518,401.5642988,57.49177392,448.5521767
127,223.8243276,102.2641378,345.3845173,78.54507642,369.1035787,32.58939494,415.0592602
128,268.6113791,149.627062,387.5956962,126.4106099,410.8121483,81.42873391,455.7940242
129,155.4492126,36.91151762,273.9869077,13.78221128,297.116214,-31.03081976,341.929245
130,166.8930773,50.77567261,283.010482,28.11861803,305.6675366,-15.7794252,349.5655798
131,156.1158097,41.37465229,270.8569672,18.98613377,293.2454857,-24.39162088,336.6232403
132,107.4609502,-4.762640648,219.6845411,-26.65992667,241.5818271,-69.08591834,284.0078188
133,73.91254275,-36.20491188,184.0299974,-57.6912445,205.51633,-99.32101393,247.1460994
134,96.94960683,-10.82803199,204.7272457,-31.85781518,225.7570288,-72.6030201,266.5022338
135,165.2961571,54.9084165,275.6838977,33.36934516,297.2229691,-8.362605553,338.9549198
136,235.3422668,122.6865571,347.9979765,100.7049552,369.9795784,58.11560154,412.5689321
137,287.6454851,177.89604,397.3949302,156.4815141,418.809456,114.9908703,460.3000999
138,280.5540113,172.0668887,389.0411339,150.8986697,410.2093529,109.8852453,451.2227773
139,281.8748497,175.9146797,387.8350197,155.2395245,408.5101748,115.1814115,448.5682879
140,233.8536533,128.5913214,339.1159851,108.0523298,359.6549767,68.25803367,399.4492728
141,244.3261201,139.2769216,349.3753186,118.7795171,369.8727231,79.06579571,409.5864445
142,262.7807863,160.0462191,365.5153534,140.0004499,385.5611226,101.1617721,424.3998004
143,241.6788634,139.6915377,343.6661892,119.7915717,363.5661552,81.23538753,402.1223393
144,217.518425,117.1237614,317.9130886,97.53455871,337.5022913,59.58047856,375.4563714
145,192.8066545,92.17879613,293.4345128,72.54409206,313.0692168,34.50185294,351.111456
146,234.4545971,135.3886453,333.5205489,116.0587035,352.8504908,78.60694125,390.302253
147,176.9997469,78.92290346,275.0765903,59.7859584,294.2135353,22.70812735,331.2913664
148,128.0119164,32.3673155,223.6565174,13.70495435,242.3188785,-22.4533704,278.4772033
149,117.7755754,24.19498952,211.3561612,5.935363015,229.6157877,-29.44266335,264.9938141
150,186.1524696,87.79647467,284.5084646,68.60506102,303.6998782,31.42169708,340.8832422
151,267.2216818,171.3570711,363.0862925,152.6517812,381.7915824,116.410282,418.0330816
152,234.9206722,140.5992251,329.2421194,122.1950403,347.6463042,86.53693222,383.3044123
153,247.0791234,147.2270005,346.9312463,127.7436594,366.4145873,89.99468616,404.1635606
154,271.2880663,172.8874599,369.6886728,153.6873415,388.8887912,116.4871122,426.0890205
