"","x"
"812",131.401842
"813",159.584854
"814",112.098688
"815",73.404916
"816",170.009658
"817",87.915646
"818",93.302222
"819",267.56821
"820",232.898536
"821",297.394942
"822",151.398676
"823",57.56036
"824",57.69608
"825",109.204082
"826",148.672966
"827",101.795278
"828",152.265022
"829",148.582486
"830",123.294834
"831",69.851314
"832",87.943544
"833",71.189664
"834",38.935806
"835",4.04973400000001
"836",-48.929322
"837",32.09024
"838",53.472926
"839",53.525706
"840",165.030242
"841",187.249114
"842",280.447284
"843",146.555734
"844",202.786038
"845",156.774696
"846",236.536586
"847",219.630398
"848",270.015694
"849",296.46903
"850",352.232608
"851",438.214998
"852",241.380282
"853",109.679102
"854",165.528636
"855",-0.125163999999998
"856",160.77919
"857",167.006476
"858",254.363408
"859",275.86598
"860",202.468604
"861",150.990762
"862",176.890662
"863",169.968188
"864",1.91968400000002
"865",11.040822
"866",-30.285918
"867",-22.357608
"868",3.42843800000001
"869",-0.0278979999999939
