"","x"
"628",43.698
"629",62.11
"630",161.587
"631",174.311
"632",149.108
"633",141.667
"634",163.049
"635",132.844
"636",117.879
"637",128.588
"638",148.389
"639",122.755
"640",127.899
"641",140.971
"642",88.427
"643",81.079
"644",92.295
"645",169.472
"646",225.169
"647",180.546
"648",191.136
"649",192.879
"650",178.942
"651",211.05
"652",204.212
"653",235.61
"654",227.808
"655",225.859
"656",217.029
"657",159.092
"658",181.591
"659",148.923
"660",117.318
"661",286.228
"662",321.419
"663",317.501
"664",334.309
"665",349.009
"666",389.631
"667",327.484
"668",278.369
"669",236.162
"670",202.881
"671",204.386
"672",124.464
"673",110.526
"674",95.028
"675",88.675
"676",192.887
"677",263.124
"678",287.34
"679",309.706
"680",270.369
"681",311.833
"682",301.589
"683",335.428
"684",221.373
"685",174.397
"686",160.466
"687",105.917
"688",81.622
"689",75.066
"690",114.439
"691",249.975
"692",268.154
"693",331.885
"694",280.039
"695",241.323
"696",264.577
"697",245.061
"698",277.181
"699",172.673
"700",148.027
"701",147.434
"702",75.692
"703",53.621
"704",65.792
"705",124.846
"706",150.445
"707",158.423
"708",170.205
"709",168.171
"710",150.061
"711",151.539
"712",150.439
"713",158.42
"714",125.979
"715",94.498
"716",116.503
"717",54.715
"718",52.425
"719",66.117
"720",137.756
"721",171.309
"722",150.792
"723",161.551
"724",140.013
"725",143.573
"726",156.851
"727",130.706
"728",147.547
"729",134.551
"730",127.601
"731",141.737
"732",66.326
"733",57.569
"734",68.573
"735",151.922
"736",156.671
"737",145.359
"738",188.179
"739",169.479
"740",160.238
"741",166.648
"742",137.093
"743",148.604
"744",151.985
"745",116.871
"746",152.482
"747",68.974
"748",90.966
"749",84.244
"750",151.239
"751",172.747
"752",159.436
"753",159.064
"754",184.997
"755",191.729
"756",168.587
"757",178.468
"758",204.689
"759",172.316
"760",207.55
"761",213.658
"762",155.642
"763",113.693
"764",90.18
"765",115.26
"766",168.61
"767",202.647
"768",242.965
"769",265.586
"770",273.713
"771",219.72
"772",218.079
"773",219.991
"774",179.949
"775",163.117
"776",183.561
"777",109.953
"778",74.777
"779",84.89
"780",82.384
"781",119.035
"782",148.497
"783",209.291
"784",261.438
"785",252.671
"786",243.852
"787",202.245
"788",190.989
"789",156.101
"790",149.804
"791",147.205
"792",95.049
"793",93.949
"794",75.457
"795",139.182
"796",174.975
"797",160.583
"798",163.174
"799",183.322
"800",177.134
"801",144.297
"802",132.223
"803",138.481
"804",109.274
"805",111.909
"806",100.431
"807",50.82
"808",48.924
"809",57.224
"810",158.69
"811",169.392
"812",152.727
"813",155.349
"814",154.328
"815",147.646
"816",119.523
"817",123.401
"818",152.257
"819",132.135
"820",170.116
"821",160.577
"822",55.206
"823",38.66
"824",44.48
"825",152.167
"826",143.821
"827",166.993
"828",185.057
"829",157.941
"830",132.479
"831",168.359
"832",126.364
"833",148.584
"834",231.361
"835",238.629
"836",267.893
"837",118.44
